Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8
0,7,7.0,8,16,3,8,10,10,1.0,9,0.9742477256822952,0.9793981805458364,0.9726801959412176,9226,8277336076276184272,1574,1,187876,2,2002,988
0,5,8.0,8,15,2,5,1,7,0.9724137931034482,5,0.9735537190082644,0.9484297520661158,0.9722314049586778,7684,5755694407684602296,1356,78,102709,0,2005,986
0,6,7.0,8,14,4,5,1,11,0.9725478981984558,10,0.9631792975970426,0.9636565096952908,0.9549399815327791,8260,5755694407684602296,900,101,92465,0,2002,3503
0,7,12.0,12,19,3,7,3,13,0.995943204868154,11,0.9782857142857142,0.9770389610389608,0.9765714285714286,9877,5755694407684602296,565,101,180746,0,2002,3314
0,7,11.0,12,18,3,5,7,21,0.9952569263859624,19,0.9790939657977512,0.979162378123004,0.9747546001180908,6831,5755694407684602296,1492,101,179250,0,2005,1791
0,4,14.0,13,18,3,3,1,17,0.9481458665345316,15,0.9529191656293614,0.950251593678096,0.9442240030168756,9574,5799347067982556520,1755,44,4757,0,2005,1464
0,7,9.0,13,16,4,1,1,14,0.9802967359050444,12,0.9747079037800688,0.9722813036020584,0.9683113909559244,10038,8277336076276184272,106,101,73663,1,2005,1480
0,5,12.0,13,17,2,4,7,16,0.9889396233557302,14,0.9684781584438312,0.9671598788286772,0.9637278783392772,2656,7258015885215914736,1769,116,121470,0,2005,3399
0,8,13.0,15,19,3,5,3,16,0.9887225094425544,15,0.9599100511073256,0.9536546458517964,0.9543931856899491,7446,5755694407684602296,1471,91,185125,0,2005,3101
0,7,6.0,11,16,2,3,3,14,1.0,13,0.9701320333130206,0.9722445663213488,0.9744546008531384,5356,5799347067982556520,1833,126,80030,0,2005,3318
0,7,13.0,12,16,3,2,3,17,0.9947323948029396,16,0.9608664408171644,0.9616570558340892,0.9561795292829776,2939,509660095530134768,1755,101,15701,1,2005,1401
0,7,8.0,9,15,3,3,1,7,0.9957805907172996,6,0.9787755102040816,0.9771428571428572,0.9787755102040816,5117,5799347067982556520,512,78,167191,0,2002,3952
0,8,6.0,6,15,3,8,1,15,1.0,14,0.987661211599196,0.9865679012345678,0.9889027961187348,8353,5799347067982556520,1911,99,183680,1,2005,2783
0,7,12.0,14,18,4,7,12,16,1.0,14,0.9686854612930528,0.9689719382772316,0.9804622696790156,2385,5755694407684602296,1705,101,67794,0,2005,2763
0,6,11.0,11,19,6,6,1,13,1.0,11,0.9760735171261488,0.9738011695906432,0.98150932887775,7256,5799347067982556520,1968,101,13030,0,2002,1451
0,7,12.0,14,17,3,2,1,16,1.0,14,0.9816257668711657,0.9803067484662578,0.9897852760736195,2478,2011981573061447208,1324,101,145757,0,2005,2118
0,5,4.0,5,9,3,5,1,11,0.9975706043121774,10,0.9836641221374048,0.98139180171592,0.9821544327931364,5355,8710739180200009128,1427,95,24321,1,2002,2721
0,8,11.0,12,19,6,4,5,15,1.0,14,0.973876764465,0.973668641903936,0.9846605964253023,1196,8277336076276184272,1314,101,11453,1,2002,823
0,9,13.0,12,17,2,5,1,14,1.0,13,0.9618216964354752,0.9651991030696668,0.9769643547514112,4452,509660095530134768,1253,101,133094,0,2005,1253
0,8,12.0,13,19,4,5,8,17,1.0,15,0.973334710103774,0.9737477412359956,0.9839983477901696,3817,5755694407684602296,385,101,165344,0,2004,730
0,7,11.0,12,19,2,4,1,21,0.9970467560893376,19,0.9798054233524318,0.9795683577326924,0.9756666648701379,1188,5755694407684602296,1594,50,76964,0,2002,2802
0,8,12.0,12,19,4,4,1,16,1.0,15,0.978697628566734,0.9774357850922832,0.9856632708949502,9633,5755694407684602296,858,99,197458,1,2005,1311
0,7,12.0,12,20,4,3,1,11,1.0,10,0.9677837837837836,0.9656216216216218,0.9837837837837836,9611,509660095530134768,477,99,188117,0,2002,2382
0,7,8.0,9,16,2,1,2,16,0.9957017688874196,15,0.9790298507462688,0.9766417910447762,0.9765671641791044,9557,8277336076276184272,1451,101,49474,0,2005,978
0,4,14.0,14,19,1,1,1,21,0.9711427217918164,19,0.9503784526303892,0.948516042664534,0.939892745082701,591,5799347067982556520,1283,91,176288,0,2005,3512
0,8,5.0,5,12,3,1,1,9,0.9890859481582538,8,0.9619889502762432,0.9593370165745858,0.9522651933701658,517,5755694407684602296,1317,99,49054,0,2005,161
0,6,10.0,10,15,4,3,5,12,0.9960548562840504,11,0.9710196779964222,0.9717225950782996,0.964722719141324,2079,7258015885215914736,1995,48,63365,0,2005,198
0,6,14.0,17,19,3,6,1,19,1.0,17,0.975673330119052,0.9745992656603496,0.98078552089901,5469,5799347067982556520,145,78,23379,0,2005,2692
0,7,11.0,12,18,3,7,2,21,0.9952569263859624,19,0.9790939657977512,0.979162378123004,0.9747546001180908,6831,5755694407684602296,1492,101,58718,0,2002,1791
0,8,11.0,13,17,3,1,1,12,0.9900943396226416,10,0.97798796216681,0.9786758383490972,0.9763370593293208,3376,8277336076276184272,260,25,126411,0,2005,1947
