Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8
0,6,11.0,14,16,3,8,1,15,0.9894571615434924,13,0.9756239870340356,0.9767909238249596,0.9604538087520258,7583,7908382889764677758;5799347067982556520,977,1,189292,0,2005,3425
0,8,9.0,12,18,3,6,1,14,1.0,13,0.9702416243654824,0.9723857868020304,0.9743675126903556,9423,7908382889764677758;509660095530134768,1833,126,64466,0,2005,3318
0,7,12.0,12,17,2,3,1,15,1.0,13,0.9670599975053014,0.9690158413371586,0.9753723337906948,1738,7908382889764677758;8277336076276184272,1962,48,171703,0,2002,2002
0,6,13.0,14,17,1,3,5,14,0.9950362877448952,13,0.9744988558352404,0.9706544622425629,0.9719725400457666,1489,7908382889764677758;8277336076276184272,864,101,156287,0,2002,1870
0,7,12.0,12,19,5,2,1,15,1.0,13,0.9625256485111352,0.9533305530069232,0.981129368587872,6090,7908382889764677758;5755694407684602296,303,101,115298,0,2005,91
0,4,12.0,10,17,2,1,2,19,0.9895247080819536,17,0.9684215478710892,0.9681346716854872,0.9644518775968852,7871,7908382889764677758;7258015885215914736,706,14,161972,0,2002,973
0,7,12.0,13,19,3,7,1,21,0.9952481554495308,19,0.979087776101647,0.9792518458557168,0.9746011502569072,8677,7908382889764677758;509660095530134768,1492,101,84691,0,2005,1791
0,5,8.0,7,15,2,3,4,9,0.9920508744038156,8,0.9757983193277312,0.978396624472574,0.9724369747899159,7932,7908382889764677758;509660095530134768,948,26,149770,0,2005,3067
0,5,12.0,14,14,4,5,2,18,0.9949800374266382,16,0.9719261213720318,0.9721142594929448,0.9643766486982452,9218,7908382889764677758;5799347067982556520,1117,14,134935,0,2005,1034
0,6,14.0,17,19,3,3,2,19,1.0,17,0.9737678142083844,0.9739870246746096,0.9784958830877516,150,7908382889764677758;5799347067982556520,2006,60,9462,0,2005,919
0,5,12.0,14,18,3,2,5,18,0.9940684261120336,16,0.977404596882448,0.9762110627106106,0.9727672628666906,4611,7908382889764677758;5799347067982556520,1078,14,111873,0,2005,2345
0,7,8.0,10,17,4,0,1,21,0.9970416739543579,19,0.9797471752023896,0.9795715020158562,0.9755797493560748,9034,7908382889764677758;8277336076276184272,1594,50,164018,1,2005,2802
0,5,12.0,12,18,4,4,1,15,0.9624594639160148,14,0.9651972093665816,0.9646501346964153,0.9614570313848704,6195,7908382889764677758;7258015885215914736,1755,78,186532,0,2002,2021
0,8,10.0,15,15,5,8,12,15,0.9850317873333512,13,0.9866983372921616,0.9844180522565322,0.9882185273159144,9320,7908382889764677758;8277336076276184272,1755,66,195344,0,2004,276
0,5,14.0,14,19,3,3,1,17,1.0,15,0.9738771892897896,0.9755220507593968,0.9808891202960042,7509,7908382889764677758;7258015885215914736,1218,1,181031,0,2005,3803
0,6,6.0,7,14,3,5,16,17,0.9916632246208832,16,0.9629136195224148,0.961727997517022,0.9580347202017264,9986,7908382889764677758;8277336076276184272,1755,101,14388,0,2005,9
0,7,15.0,17,19,4,1,1,20,1.0,18,0.9745027368685206,0.9757913392619082,0.9842983735629479,427,7908382889764677758;8277336076276184272,238,101,100267,1,2005,458
0,7,12.0,12,20,3,3,5,11,1.0,10,0.9677837837837836,0.9656216216216218,0.9837837837837836,9611,7908382889764677758;509660095530134768,477,99,184392,0,2005,2382
0,7,13.0,12,20,5,5,3,11,1.0,10,0.9662548692264888,0.9620701168614358,0.98361713967724,9611,7908382889764677758;509660095530134768,477,99,45065,0,2005,2382
0,9,12.0,15,16,5,4,1,16,1.0,15,0.9839318984902024,0.9821008673305494,0.9865724381625444,1160,7908382889764677758;5799347067982556520,2030,0,14535,0,2002,3832
0,6,15.0,14,19,4,6,1,16,1.0,14,0.9622053735737944,0.9603592197276408,0.97605005520795,5590,7908382889764677758;7258015885215914736,20,48,136570,0,2005,1008
0,7,11.0,12,16,3,5,5,17,0.9947542452757304,16,0.9609258720681576,0.9617163974815222,0.9562531853397412,2939,7908382889764677758;509660095530134768,1755,101,167540,0,2005,1401
0,5,9.0,8,14,3,6,4,16,0.9910866679309692,14,0.9717036667498128,0.9697556109725688,0.9666832917705735,9719,7908382889764677758;3203673979138763595,122,83,132663,0,2005,236
0,4,8.0,10,14,7,0,5,14,0.9837099811676084,13,0.948791405550582,0.9493381037567086,0.9403220035778176,3722,7908382889764677758;2011981573061447208,1755,101,197636,0,2005,3856
0,8,11.0,12,19,5,7,1,15,1.0,13,0.9840666975451596,0.9842890226956926,0.9896989346919872,2261,7908382889764677758;509660095530134768,1479,101,165402,1,2002,3805
0,8,12.0,11,16,2,7,1,15,1.0,14,0.9710009017132551,0.9695220919747521,0.9797835888187556,122,7908382889764677758;5755694407684602296,156,99,114346,1,2002,2169
0,7,9.0,11,17,3,6,1,15,0.996360231107656,14,0.9827269768955418,0.9793556784900748,0.9791474129515132,1231,7908382889764677758;8277336076276184272,66,101,187532,1,2005,1298
0,8,15.0,15,20,4,2,1,21,1.0,19,0.975522579444278,0.9749658231905938,0.9856797170689336,1112,7908382889764677758;509660095530134768,1609,99,82561,1,2005,3747
0,6,10.0,10,16,3,6,1,17,0.9854711813484868,15,0.9666397766056468,0.9687641494805396,0.9618173360210884,250,7908382889764677758;7258015885215914736,1755,1,84712,1,2004,3726
0,4,11.0,11,15,2,2,1,12,0.9923342276734382,11,0.9732647814910024,0.967917737789203,0.969974293059126,7764,7908382889764677758;5799347067982556520,935,52,54882,0,2005,2956
0,6,10.0,12,16,0,2,1,17,0.9903003381290194,15,0.9748924228250702,0.9752637118465676,0.9703461178671656,5505,7908382889764677758;2011981573061447208,203,50,31905,0,2002,3567
0,7,13.0,12,19,4,1,2,17,1.0,15,0.9707160163507992,0.9694483835005574,0.9856467580343076,362,7908382889764677758;509660095530134768,1049,99,167612,0,2002,331
0,7,13.0,13,19,5,6,1,16,1.0,15,0.9668699620420522,0.9667334840278076,0.9862634878662516,7853,7908382889764677758;8277336076276184272,1970,60,128541,0,2002,3943
0,6,14.0,14,19,6,5,1,14,1.0,13,0.9695427587526306,0.9701473120336714,0.9733001721828968,9307,7908382889764677758;5799347067982556520,509,25,119382,0,2004,735
0,7,11.0,12,16,3,4,1,14,1.0,13,0.958718557968046,0.9586530110610404,0.9747251126587464,2596,7908382889764677758;8277336076276184272,1272,50,9674,0,2004,1127
0,8,16.0,16,20,4,3,1,18,1.0,16,0.960353747340062,0.9624652987915584,0.9785104347656326,3026,7908382889764677758;5755694407684602296,92,99,89127,0,2005,788
0,7,13.0,14,18,2,7,9,20,1.0,18,0.9746042308153716,0.9758237293557804,0.9843384652297358,597,7908382889764677758;509660095530134768,238,101,54403,0,2002,458
0,7,10.0,11,19,3,2,8,14,1.0,13,0.9763601315341875,0.9776482594398456,0.9818936387345504,8517,7908382889764677758;8277336076276184272,210,14,81156,0,2005,1022
0,7,8.0,10,16,0,0,1,15,0.9916664562236421,13,0.9625793650793649,0.9656660878193996,0.95734126984127,2057,7908382889764677758;8277336076276184272,453,66,11358,0,2005,1431
0,8,8.0,10,14,5,9,9,18,0.9889682001241392,16,0.9875349969567864,0.9862690200852099,0.983639683505782,5700,7908382889764677758;5755694407684602296,1258,1,90048,1,2005,2445
