Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8
0,7,9.0,8,18,4,0,1,14,1.0,13,0.979368998628258,0.9792226794695932,0.9859533607681756,9740,8277336076276184272,391,101,148547,0,2005,187
0,6,12.0,13,17,3,6,14,15,0.993653241592028,13,0.9838690476190476,0.9842440778866428,0.9797247365158092,235,7258015885215914736,808,14,110691,1,2005,172
0,8,9.0,12,16,3,6,1,16,1.0,15,0.9738879418115696,0.9744880100011366,0.9815615410842142,2860,5755694407684602296,834,99,194767,0,2002,3204
0,6,12.0,13,18,2,3,1,15,0.9941540191118606,14,0.9696396957985288,0.9709060681629258,0.9665464217438284,5074,5799347067982556520,458,101,173975,0,2005,1217
0,8,11.0,14,17,3,5,1,15,1.0,14,0.9805170068027212,0.9794829931972792,0.9805170068027212,5487,5799347067982556520,1911,99,93654,0,2005,1813
0,5,13.0,12,18,3,4,1,17,0.9934223047464316,16,0.9742881330611026,0.9722189570154904,0.9702420077681506,5659,7258015885215914736,1450,50,126174,1,2005,3194
0,7,11.0,12,18,2,6,1,18,0.9858443587689284,16,0.9737066069428892,0.972963045912654,0.9689585666293394,8653,5755694407684602296,1755,101,197430,0,2002,2815
0,6,11.0,12,17,4,4,1,19,1.0,17,0.975673330119052,0.9745992656603496,0.98078552089901,1047,5799347067982556520,145,78,171119,1,2002,2692
0,7,13.0,15,16,3,6,1,17,1.0,15,0.9686211292511412,0.9645943167331495,0.98171484969363,6286,5755694407684602296,2008,70,73867,1,2005,424
0,8,11.0,13,17,3,6,4,15,1.0,13,0.9815710215710216,0.9810500610500612,0.9890598290598293,4903,8277336076276184272,854,101,140243,0,2002,3687
0,7,12.0,13,16,5,1,1,15,1.0,14,0.9675449101796408,0.9680638722554892,0.9828343313373252,7434,8277336076276184272,1585,50,101676,0,2005,1565
0,7,13.0,12,19,2,3,1,12,1.0,11,0.969997262523953,0.969252669039146,0.9832247467834656,7696,5755694407684602296,1809,90,91287,0,2005,521
0,7,10.0,11,14,3,3,2,18,0.9866375399348842,16,0.9612209357956176,0.9614000087043566,0.9570476694639464,2646,5755694407684602296,1755,101,6939,0,2002,1238
0,7,10.0,11,17,4,3,1,16,1.0,15,0.9687926163119231,0.969530985119608,0.9823996986249766,6275,509660095530134768,738,101,15938,0,2005,3898
0,7,14.0,14,18,6,0,12,16,1.0,15,0.9731304183229226,0.9753352261972364,0.98355123206783,9866,8277336076276184272,952,50,28180,0,2005,2059
0,7,12.0,14,18,3,6,1,17,1.0,15,0.9731878811920464,0.9733187881192048,0.9798919026131799,492,509660095530134768,144,65,100715,0,2002,2705
0,9,11.0,14,18,3,3,8,17,0.9915039792319492,15,0.976084210526316,0.9762438942226714,0.9691799966324296,7661,8277336076276184272,481,14,123125,0,2005,3714
0,8,12.0,13,18,3,6,1,18,1.0,17,0.9791254579747221,0.9783172545363888,0.9848938799401652,1983,8277336076276184272,171,17,86574,0,2005,2222
0,5,12.0,12,17,3,0,1,17,1.0,15,0.9779892639432262,0.9769502320080066,0.9869929942680375,3620,7258015885215914736,1533,1,72004,0,2005,829
0,8,10.0,11,12,4,6,1,19,1.0,17,0.9828792995622264,0.9836823014383992,0.9850056285178236,2650,5755694407684602296,1396,68,134098,0,2002,3047
0,7,6.0,8,17,3,2,1,5,1.0,4,1.0,1.0,1.0,8882,8277336076276184272,2042,60,110926,1,2005,2962
0,6,14.0,15,18,7,2,3,16,0.9850530678892168,14,0.9555124816446404,0.9493654524089308,0.9521257067332404,2374,8277336076276184272,126,91,47379,0,2005,1332
0,7,10.0,11,17,7,1,1,15,0.9923477990194808,13,0.9860427933223608,0.9838231836350809,0.9845755936985656,359,8277336076276184272,1926,101,68158,0,2005,2409
0,7,12.0,13,20,1,2,1,15,1.0,14,0.9679525925925924,0.9638850370370372,0.984734814814815,7214,8277336076276184272,675,60,36448,1,2003,1258
0,5,8.0,11,15,3,7,1,14,0.9927792104741124,13,0.9663844465349641,0.9641768579492004,0.9632737535277516,334,8277336076276184272,1755,101,103660,0,2005,3009
0,6,12.0,13,18,3,7,8,20,1.0,18,0.9770586358986768,0.9759613713606916,0.9824780844066568,9614,5799347067982556520,1144,38,15905,0,2002,3841
0,6,12.0,11,16,4,2,1,14,1.0,13,0.9696451846488052,0.9684737307908922,0.9786048756939416,6164,7258015885215914736,1908,38,161522,0,2002,960
0,8,11.0,11,18,3,3,18,15,0.9916297495314365,13,0.9736638452237,0.9721765417170496,0.9723379174852652,5005,5755694407684602296,834,99,15163,1,2005,1388
0,6,13.0,14,18,2,3,3,16,0.995548494431871,14,0.9678679947680852,0.9661683935217784,0.963698561223463,6798,509660095530134768,1884,50,130933,0,2002,2632
0,7,12.0,13,18,2,6,1,16,1.0,14,0.9709090909090908,0.9708328035600764,0.9795719432083068,1362,5755694407684602296,1674,101,138886,0,2003,3456
0,4,14.0,15,17,4,7,1,18,0.9944200420642982,16,0.9699519300801164,0.9691430654273738,0.9649376431661999,1836,8710739180200009128,1466,66,161086,1,2002,901
0,7,9.0,11,15,7,2,1,15,0.9899607530857176,13,0.9713077939233818,0.9721877065432916,0.9670805812417438,1743,8277336076276184272,1011,101,108097,0,2005,3223
0,8,8.0,12,16,5,5,1,16,1.0,14,0.9837100769130492,0.9825420414548298,0.9871933255116674,5744,5799347067982556520,604,99,152908,1,2002,3728
0,8,12.0,10,16,5,6,1,18,1.0,16,0.9844687110446272,0.982773373223635,0.9884138618798306,7547,5755694407684602296,10,14,124183,2,2002,1556
0,7,9.0,11,18,3,4,2,14,1.0,13,0.9773682420945258,0.9766065963957836,0.9835883486342514,5555,8277336076276184272,696,101,180811,0,2004,2381
0,6,9.0,10,17,2,6,1,18,0.988392841368832,16,0.9744580406182144,0.9740636656277146,0.9696799080342318,5840,8277336076276184272,546,101,38127,0,2005,2079
0,6,10.0,11,16,3,6,3,14,1.0,12,0.9730493707647628,0.973839303000968,0.9790745401742498,5745,8710739180200009128,144,65,145552,0,2002,2734
0,6,13.0,12,18,6,2,5,10,0.9903083700440528,9,0.9533944954128442,0.9516513761467892,0.9522018348623852,9406,8277336076276184272,1755,78,4459,0,2005,2171
0,7,12.0,13,19,5,6,1,13,0.9962284010174546,12,0.9771656686626746,0.9747305389221556,0.975129740518962,9877,5755694407684602296,565,101,155677,0,2004,3314
0,7,10.0,11,19,4,3,2,14,1.0,13,0.9763601315341875,0.9776482594398456,0.9818936387345504,8517,8277336076276184272,210,14,109343,0,2005,1022
0,7,11.0,11,20,3,2,5,17,1.0,15,0.9700733592634534,0.9664812170744916,0.9836778100536656,75,8277336076276184272,1322,60,189268,0,2005,2477
0,7,12.0,15,17,7,7,1,16,0.9984388735639153,14,0.9746984788819396,0.9753209237661232,0.9677949351451514,6315,5799347067982556520,144,65,154751,0,2002,1574
0,7,9.0,10,16,6,6,1,15,0.9882214152734512,14,0.9649928808732796,0.9650094876660342,0.9578947368421052,1760,509660095530134768,1755,99,38111,0,2004,1439
0,8,12.0,13,17,4,6,1,18,1.0,17,0.979171228874992,0.9784926319433926,0.9848908315841862,2134,5799347067982556520,171,17,140138,0,2005,2222
0,7,6.0,7,15,4,6,8,6,1.0,4,1.0,0.987692307692308,0.9975384615384616,1350,5755694407684602296,177,99,16687,0,2002,1659
0,7,12.0,15,17,5,3,1,16,1.0,15,0.9769894878103332,0.9770789532543056,0.9855960635204652,2212,5755694407684602296,200,72,90605,0,2005,306
0,4,5.0,4,12,4,5,1,12,0.9810938555030384,10,0.9638162544169612,0.9637308146399056,0.9568433451118964,8462,2642175453151805566,296,97,81427,1,2005,3126
0,7,13.0,13,19,3,7,1,12,1.0,11,0.9682109227871941,0.9672693032015064,0.982674199623352,7696,5755694407684602296,1809,90,61160,0,2005,521
0,7,7.0,10,15,3,1,1,11,1.0,10,0.959783783783784,0.9576216216216216,0.9788108108108108,7447,5755694407684602296,1657,99,52687,0,2005,1595
0,7,13.0,14,18,3,7,3,21,0.9952569263859624,19,0.9790939657977512,0.979162378123004,0.9747546001180908,198,5755694407684602296,1492,101,56898,0,2005,1791
0,7,8.0,10,17,4,3,1,21,0.9970421562102204,19,0.979743159153284,0.9796197784758532,0.9755499521780716,9034,8277336076276184272,1594,50,172275,0,2002,2802
0,8,10.0,11,11,3,6,15,16,1.0,14,0.9718700865560232,0.9748685777813072,0.9796077185738109,9295,2011981573061447208,1406,68,185611,0,2005,2575
0,7,14.0,15,18,6,4,1,20,1.0,18,0.9649919806826186,0.965684186853054,0.9774166553232287,8640,5755694407684602296,427,101,176755,0,2005,238
0,6,13.0,14,18,4,2,1,14,1.0,13,0.9693248256417866,0.968208933076124,0.9783884849384183,3880,5799347067982556520,1908,38,25250,0,2005,960
0,8,13.0,13,20,4,7,7,18,1.0,16,0.9760329511299122,0.976015139708338,0.9829437827006569,761,509660095530134768,261,38,73766,1,2005,1856
0,6,13.0,11,18,5,1,5,15,1.0,14,0.985574833792768,0.984770552943084,0.9892330144316523,4458,7258015885215914736,1120,78,69844,0,2005,582
0,7,9.0,10,17,3,2,1,19,0.987311676973086,17,0.9641484549566736,0.9640272042087472,0.9594083790292952,4639,509660095530134768,160,101,155637,1,2005,277
0,5,12.0,14,10,4,7,1,20,0.9958688353248027,18,0.9751278633644338,0.9733663980161192,0.9692328673712922,318,7258015885215914736,817,109,193886,0,2002,2047
0,7,6.0,7,14,4,4,1,12,1.0,11,0.9720089924381771,0.9743633762517884,0.9785577119509704,2169,5755694407684602296,732,113,32239,1,2005,1335
0,6,6.0,8,13,3,0,5,14,0.9840487114617726,13,0.9699647710115752,0.9671464519375944,0.966663311524912,9229,2436715285093487584,1504,37,111890,0,2005,3701
0,8,13.0,14,19,4,7,4,15,0.99752191788537,14,0.9641072461904456,0.9619003535840563,0.9601054187825416,4643,5755694407684602296,1185,99,20203,0,2002,1655
0,8,10.0,13,16,3,7,5,15,1.0,14,0.9881231547870096,0.9875832981864192,0.9891353859131168,286,8277336076276184272,80,119,142554,0,2005,1783
0,6,11.0,14,17,3,6,7,14,1.0,12,0.975476784822766,0.9701248127808288,0.977074388417374,4062,509660095530134768,1961,17,127694,0,2002,3648
0,7,11.0,13,19,2,7,1,18,0.9955543292908088,16,0.9809378604744472,0.9808465396188566,0.9776059375156714,2858,8277336076276184272,1755,50,6722,0,2005,2549
0,7,14.0,14,19,4,0,1,13,1.0,11,0.9749425590915092,0.9728297900435758,0.9862881288789118,7711,509660095530134768,985,101,52917,1,2005,2849
0,7,10.0,13,18,4,6,1,18,0.996406380413614,17,0.9799840161969204,0.9796206308610402,0.9773249154212952,9830,8277336076276184272,889,101,178679,0,2002,1716
0,6,13.0,17,19,3,9,8,19,1.0,17,0.9738635813265172,0.973973362034172,0.9785411004977802,150,5799347067982556520,2006,60,165049,0,2005,919
0,7,11.0,12,17,4,4,1,16,1.0,15,0.9722428436615288,0.9729726329034288,0.984953609058028,5197,8277336076276184272,425,101,46884,0,2005,3523
