Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8
0,5,15.0,15,19,2,0,1,17,0.9763985917513712,15,0.9641887363207686,0.964907451352634,0.9576502683628384,8268,7908382889764677758;5799347067982556520,1755,78,109568,0,2005,1071
0,8,7.0,10,13,3,8,1,14,0.9817053550907836,13,0.9812620436965668,0.9796987379563036,0.9756016822683488,6591,7908382889764677758;5799347067982556520,1755,101,78403,0,2002,2357
0,6,10.0,13,15,4,2,1,14,0.96997216264318,13,0.9701410298458509,0.965575598556904,0.9641587405706792,5796,7908382889764677758;7258015885215914736,281,115,130711,0,2005,538
0,7,11.0,13,18,3,5,4,21,0.9952499317426782,19,0.9790747764998596,0.9791950041469484,0.9746305532859356,7997,7908382889764677758;5755694407684602296,1492,101,166226,0,2002,1791
0,7,11.0,12,18,3,2,1,15,1.0,13,0.9657817362377938,0.9645970597703616,0.9834660371284474,3508,7908382889764677758;8277336076276184272,908,101,189268,0,2005,872
0,5,15.0,15,20,3,3,1,17,0.9764012120354908,15,0.9642848483099038,0.9649844092851371,0.9577822033653708,8268,7908382889764677758;5799347067982556520,1755,78,28424,0,2005,1071
0,7,13.0,13,19,2,6,1,16,0.9949646660119771,15,0.975243842031792,0.9743083573487032,0.9723042283964516,5587,7908382889764677758;509660095530134768,295,101,97017,0,2004,1132
0,6,13.0,14,18,2,5,2,19,1.0,17,0.9737678142083844,0.9739870246746096,0.9784958830877516,1235,7908382889764677758;509660095530134768,2006,1,156024,0,2005,919
0,7,13.0,15,19,4,6,1,18,0.9955510346669956,16,0.981053727716758,0.9807289135716766,0.977639825466085,3740,7908382889764677758;8277336076276184272,948,50,172972,0,2004,2549
0,7,13.0,13,19,0,0,12,15,1.0,14,0.9662032085561498,0.9559358288770056,0.98493794773484,3976,7908382889764677758;8277336076276184272,1463,60,108765,0,2005,3826
0,6,9.0,11,17,2,2,7,15,0.9972415315017102,13,0.9709386373254338,0.9689968678574452,0.9644519678374948,992,7908382889764677758;509660095530134768,1755,101,12241,0,2005,2473
0,7,11.0,11,18,4,6,2,15,1.0,13,0.9557723577235772,0.9536437546193643,0.9815521064301552,404,7908382889764677758;509660095530134768,1328,99,96812,0,2002,1862
0,4,11.0,11,14,3,1,2,16,0.988718882126538,15,0.9763566417741572,0.976447159990948,0.9753094241430024,6020,7908382889764677758;2642175453151805566;8868887661186419229,1755,14,167686,0,2002,1911
0,8,7.0,10,17,3,6,1,14,0.9930579550808858,13,0.9870197787462288,0.9887898089171976,0.9864834059671472,1835,7908382889764677758;8710739180200009128,239,14,10669,1,2002,604
0,6,14.0,17,19,2,7,1,19,1.0,17,0.9737678142083844,0.9739870246746096,0.9784958830877516,150,7908382889764677758;5799347067982556520,2006,60,186470,0,2005,919
0,7,11.0,11,17,6,1,1,16,1.0,14,0.9657090182823782,0.9628821631587032,0.9838500537717008,7080,7908382889764677758;8277336076276184272,470,60,186603,0,2005,2463
0,8,12.0,12,16,3,6,2,22,1.0,19,0.9691040034756326,0.9738209120936044,0.9720620043928134,5909,7908382889764677758;5755694407684602296,1628,14,197367,1,2005,1795
0,7,12.0,14,19,3,5,4,21,0.9970467560893376,19,0.9798054233524318,0.9795683577326924,0.9756666648701379,639,7908382889764677758;8277336076276184272,1594,50,29388,1,2002,2802
0,7,12.0,13,17,4,6,1,14,1.0,13,0.9696447291788002,0.9721141525917298,0.9781976998107441,7013,7908382889764677758;8277336076276184272,1355,50,96092,0,2004,2501
0,6,8.0,8,13,2,5,1,14,0.982461087299797,12,0.9811180124223602,0.9870807453416149,0.9771428571428572,420,7908382889764677758;509660095530134768,33,78,45635,0,2005,1293
0,7,11.0,13,18,5,6,4,16,1.0,14,0.9619534081104402,0.9596617773943056,0.9814874892148404,275,7908382889764677758;5755694407684602296,1162,99,166684,1,2002,3299
0,6,12.0,14,18,3,4,3,14,0.9963750279704632,13,0.9726498361919445,0.9725467514941201,0.9695663904413184,5030,7908382889764677758;5755694407684602296,72,101,7127,1,2002,2908
0,6,13.0,14,18,5,3,1,16,0.995548494431871,14,0.9678679947680852,0.9661683935217784,0.963698561223463,6798,7908382889764677758;509660095530134768,1884,50,150658,0,2005,2632
0,7,11.0,13,18,5,5,2,15,0.9972562122452592,13,0.9709545531339754,0.969111186211558,0.9645345497550262,3683,7908382889764677758;8277336076276184272,1755,101,155559,0,2002,2473
0,7,14.0,15,18,4,6,1,20,1.0,18,0.9652017675909291,0.9660923614820568,0.9775933569659594,8640,7908382889764677758;5755694407684602296,427,101,90055,0,2005,238
0,7,11.0,11,19,3,5,1,14,1.0,13,0.9608574401664932,0.9582767950052028,0.9822518210197709,1124,7908382889764677758;8277336076276184272,1951,60,50939,0,2002,2205
0,7,13.0,12,20,5,2,1,11,1.0,10,0.9662548692264888,0.9620701168614358,0.98361713967724,9611,7908382889764677758;509660095530134768,477,99,160924,0,2005,2382
0,8,13.0,16,20,0,6,1,17,1.0,15,0.9683574027876318,0.967639667681322,0.9805259423706314,6173,7908382889764677758;8277336076276184272,309,101,29664,0,2005,2835
0,8,11.0,11,16,4,4,1,15,1.0,13,0.9711883589329022,0.9696038803556992,0.9845109135004042,8441,7908382889764677758;8277336076276184272,1297,101,54847,0,2005,2053
0,7,10.0,10,16,3,6,4,10,1.0,9,0.9750308008213552,0.9763449691991786,0.9816016427104725,8012,7908382889764677758;509660095530134768,69,25,141663,0,2005,2315
0,6,12.0,13,17,3,5,7,15,0.9936461244300632,13,0.983844162248798,0.9842170160295932,0.9797633136094674,235,7908382889764677758;7258015885215914736,808,14,106299,0,2005,172
0,8,6.0,8,14,2,4,7,15,0.990442609260462,13,0.966318038566316,0.9671862813184466,0.961310146164515,10009,7908382889764677758;5799347067982556520,1254,101,113260,0,2005,2782
0,5,10.0,10,17,2,6,2,11,0.987644151565074,10,0.9470451612903226,0.9492129032258064,0.9472516129032258,8156,7908382889764677758;7258015885215914736,1755,79,179379,0,2005,921
0,9,9.0,12,15,3,5,1,14,1.0,12,0.9848520710059172,0.9814437869822484,0.9895857988165682,8016,7908382889764677758;8277336076276184272,1187,101,66352,0,2002,360
0,7,12.0,13,18,5,3,1,17,1.0,16,0.9764561014653368,0.9745942617904201,0.9834897180150228,9042,7908382889764677758;509660095530134768,1481,126,120165,0,2005,784
0,8,12.0,12,18,2,6,5,13,1.0,12,0.9746344015696532,0.9754924787442774,0.9859149771092216,90,7908382889764677758;509660095530134768,1392,101,183861,0,2002,2916
0,6,13.0,13,18,4,5,11,17,0.9838818601637188,16,0.9652374868062884,0.9644641964335317,0.9618438298344996,1903,7908382889764677758;509660095530134768,929,101,29923,0,2002,1522
1,4,14.0,14,19,3,2,1,21,0.9711659808046954,19,0.9504234036962425,0.9484383100959854,0.939984938440253,591,7908382889764677758;5799347067982556520,1283,91,17126,1,2005,3512
0,5,13.0,14,18,2,5,1,15,0.9986595174262736,14,0.966363300036996,0.9626341102478728,0.9632795375722544,4116,7908382889764677758;7258015885215914736,1450,50,42984,0,2005,2140
0,8,13.0,12,18,3,3,1,16,1.0,14,0.9719399001403556,0.9716932422171602,0.9839966866846136,9264,7908382889764677758;8277336076276184272,378,33,157200,0,2005,1197
0,7,4.0,4,12,3,7,1,15,0.9924169534091094,14,0.96912701386287,0.9682278006744098,0.9635518920944172,7441,7908382889764677758;5799347067982556520,60,78,24515,0,2002,1933
0,6,12.0,12,17,2,3,1,16,0.9934102865427068,14,0.9659280575539568,0.9651211685293792,0.9615224607213986,2092,7908382889764677758;5799347067982556520,316,101,114590,0,2002,3691
0,7,11.0,12,16,3,4,2,14,1.0,13,0.9688114104595881,0.9700792393026942,0.9736291600633916,4968,7908382889764677758;5799347067982556520,1815,99,147814,0,2005,1191
