Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8
0,7,10.0,11,16,5,1,1,12,0.9948870196272472,11,0.9805652435357788,0.9764281419122068,0.9761395069152136,3082,7908382889764677758;2011981573061447208,395,101,167942,0,2005,833
0,7,10.0,11,15,4,3,10,19,0.9872791472550656,17,0.9638629749285772,0.9635742998704576,0.9591371817091054,10055,7908382889764677758;509660095530134768,160,101,91073,0,2005,277
0,7,12.0,12,19,6,0,5,15,1.0,14,0.9679520527419838,0.9639724303266406,0.9846952352412346,3336,7908382889764677758;8277336076276184272,675,60,91998,0,2005,1258
0,5,15.0,15,21,3,3,2,17,1.0,15,0.9779892639432262,0.9769502320080066,0.9869929942680375,3295,7908382889764677758;7258015885215914736,1533,1,156931,1,2005,829
0,5,15.0,15,21,5,4,1,17,1.0,15,0.9779892639432262,0.9769502320080066,0.9869929942680375,3295,7908382889764677758;7258015885215914736,1533,1,94536,1,2005,829
0,7,9.0,10,12,5,0,1,19,0.9952800245911628,17,0.9718713269409218,0.9705401538877934,0.9710963352404516,9601,7908382889764677758;509660095530134768,873,50,60275,0,2005,2009
0,7,13.0,13,20,4,3,1,17,0.989918730188994,15,0.9636527123891928,0.9634151927726172,0.9574726486303112,836,7908382889764677758;8277336076276184272,1755,101,46887,0,2005,1468
0,8,11.0,12,18,0,5,11,13,1.0,12,0.969880239520958,0.971137724550898,0.982814371257485,7184,7908382889764677758;509660095530134768,974,101,178440,0,2004,2840
0,8,12.0,16,19,3,3,2,19,1.0,17,0.9719912891569148,0.973009787733027,0.9803805011127862,9347,7908382889764677758;8277336076276184272,1836,78,5395,0,2005,1031
0,4,9.0,9,14,5,2,2,12,0.9912731006160164,11,0.9532640332640332,0.951850311850312,0.9501871101871102,781,7908382889764677758;2436715285093487584,1917,8,118850,0,2005,1844
0,7,13.0,16,17,3,6,1,20,1.0,18,0.965469659494542,0.9666122403436668,0.9778496023407041,7145,7908382889764677758;5755694407684602296,427,101,112621,1,2005,238
0,8,13.0,13,16,6,3,11,20,1.0,18,0.9673285420750124,0.9721584334668448,0.9792866138302608,7962,7908382889764677758;5755694407684602296,368,38,142061,1,2002,1483
0,5,11.0,11,18,3,6,1,14,1.0,12,0.9710809061488674,0.9723106796116504,0.9743689320388352,9915,7908382889764677758;5799347067982556520,892,14,26110,0,2002,2679
0,7,13.0,14,20,5,4,1,15,1.0,14,0.9675899938987188,0.9641488712629652,0.9858450274557656,4286,7908382889764677758;8277336076276184272,1573,60,78705,0,2002,2449
0,6,15.0,17,20,4,8,7,20,1.0,18,0.9771910628334288,0.9762739884458608,0.9825683298655796,2279,7908382889764677758;7258015885215914736,1144,38,158835,2,2005,3841
0,7,10.0,10,18,5,5,15,14,0.9750936843067362,13,0.9640533934950178,0.9627760015046078,0.959706822025935,9281,7908382889764677758;5755694407684602296,536,99,115758,0,2005,82
0,5,11.0,11,14,3,6,1,17,0.9877045360742388,15,0.9558736575119884,0.9546055656861968,0.9517305329898952,2483,7908382889764677758;7258015885215914736,1755,97,178245,0,2005,1316
0,7,11.0,12,18,5,4,1,14,1.0,13,0.9609044493070752,0.9589204959883296,0.9826695842450766,7783,7908382889764677758;5755694407684602296,212,99,131876,1,2002,1919
0,8,10.0,13,15,2,3,4,16,1.0,15,0.9632368972746332,0.9649811320754718,0.9712201257861636,8651,7908382889764677758;5799347067982556520,1707,1,67411,0,2005,2676
0,6,7.0,9,16,4,4,3,17,0.9917310155307694,16,0.9627377110694184,0.9612277673545966,0.9580309170043524,9986,7908382889764677758;8277336076276184272,1755,101,94985,0,2005,9
0,6,10.0,10,15,3,0,1,14,0.9964157706093191,13,0.9796865203761757,0.9788359788359788,0.9756569414529076,5112,7908382889764677758;3203673979138763595,406,1,154357,0,2005,3429
0,7,10.0,11,15,3,5,1,14,1.0,12,0.9859397049390636,0.9868120590121874,0.9876330981398334,5639,7908382889764677758;5799347067982556520,87,25,40117,0,2002,2114
0,7,13.0,13,19,4,3,17,13,1.0,12,0.9758874458874459,0.9731890331890332,0.9887012987012987,657,7908382889764677758;8277336076276184272,1805,60,3064,0,2005,2860
0,8,12.0,14,18,3,3,7,16,1.0,14,0.9656283713990588,0.9649856536210262,0.9848502238035122,7119,7908382889764677758;509660095530134768,542,101,114311,0,2005,639
