Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8
0,6,11.0,12,16,2,5,4,16,0.9845684168957608,14,0.974436664544876,0.9739274347549332,0.9698727735368956,4194,8277336076276184272,160,50,94122,0,2005,2133
0,6,8.0,9,16,2,6,6,17,0.9917251631018252,16,0.9625629307622284,0.9609667651266048,0.9578756524808204,9986,8277336076276184272,1755,50,86549,0,2005,9
0,5,12.0,11,18,3,6,1,13,0.9744689405615492,12,0.9682072098192712,0.9680185578967716,0.9640320865951484,9672,7258015885215914736,1061,1,13576,0,2002,1736
0,7,10.0,11,17,4,6,1,14,1.0,13,0.9706570557249792,0.9706016079844748,0.9853728860548931,6451,509660095530134768,731,101,13434,0,2002,1282
0,5,10.0,11,17,3,0,1,14,0.994732617638206,12,0.9772389628591452,0.9742116327960756,0.9725297827610372,8759,5799347067982556520,1755,25,148073,0,2005,456
0,7,12.0,12,17,3,7,2,21,0.9970467560893376,19,0.9798054233524318,0.9795683577326924,0.9756666648701379,2187,8277336076276184272,1594,50,95818,1,2002,2802
0,7,12.0,13,20,4,2,7,15,1.0,14,0.9679525925925924,0.9638850370370372,0.984734814814815,7214,8277336076276184272,675,60,149629,0,2005,1258
0,7,12.0,13,18,5,4,1,21,0.9970416739543579,19,0.9797471752023896,0.9795715020158562,0.9755797493560748,1651,8277336076276184272,1594,50,138973,1,2005,2802
0,6,10.0,13,18,5,5,1,14,1.0,13,0.9721811556481,0.9749297241020304,0.9760957834461216,1224,5799347067982556520,630,20,61019,0,2005,12
0,7,5.0,6,10,4,0,4,16,1.0,15,0.969849419896322,0.968190570229573,0.9849913601579858,3177,5755694407684602296,1323,101,141834,1,2005,1511
0,5,14.0,16,19,3,2,4,17,1.0,15,0.9785917847143872,0.9774117253771261,0.9836797459362334,8638,7258015885215914736,1144,38,22087,0,2005,1750
0,4,9.0,9,16,3,6,13,13,0.985929067077872,12,0.9646650124069478,0.9610918114143921,0.9529131513647644,5429,5799347067982556520,1755,6,86946,0,2005,1845
0,7,9.0,10,17,3,5,1,15,1.0,13,0.9693716000750328,0.9675858187957233,0.9813468392421684,477,8277336076276184272,471,101,49340,0,2005,1714
0,7,8.0,9,13,3,1,1,12,1.0,10,0.9762277580071176,0.9762989323843416,0.9863345195729538,8855,2011981573061447208,167,101,128031,0,2002,3122
0,4,6.0,6,14,2,3,2,5,0.9565217391304348,4,0.96,0.956,0.94,4726,5799347067982556520,1755,50,54182,0,2005,2441
0,6,13.0,13,17,5,7,1,13,1.0,12,0.9723422404038646,0.9722865349464704,0.9800713726172864,5644,7258015885215914736,360,1,169361,0,2005,3806
0,6,10.0,11,17,3,4,1,14,0.9886648576237421,13,0.9676160135924392,0.9653355989804588,0.9613465010088138,4531,5799347067982556520,1703,101,44020,0,2005,2091
0,7,11.0,12,18,4,5,4,21,0.9952569263859624,19,0.9790939657977512,0.979162378123004,0.9747546001180908,4522,2011981573061447208,1492,101,187298,0,2004,1791
0,8,14.0,14,18,6,8,1,18,1.0,16,0.9696820836621942,0.9699093922651932,0.9750213101815312,1508,5799347067982556520,1707,1,48874,1,2002,3242
0,7,9.0,9,15,1,2,1,12,0.9935313143193178,11,0.9746434231378764,0.9751505546751188,0.9713470681458004,3432,8277336076276184272,948,101,164740,0,2003,3023
0,7,12.0,13,17,3,3,1,18,0.993999370281689,16,0.9728280107733744,0.9727882256745708,0.9694157249338784,9486,5755694407684602296,1755,101,146228,0,2005,1647
0,8,10.0,12,17,4,2,6,16,1.0,14,0.9741404358353511,0.9747941888619857,0.9816464891041164,4807,8277336076276184272,48,101,178363,0,2005,142
0,7,13.0,14,16,3,3,1,17,1.0,15,0.9612361405991978,0.9598773295588584,0.9819202642132578,10074,5755694407684602296,85,99,171551,0,2005,3369
0,8,11.0,12,20,6,2,1,15,1.0,13,0.9840229335881508,0.9844051600573341,0.9896798853320592,2261,509660095530134768,1479,101,158118,1,2005,3805
0,8,12.0,13,19,3,7,8,17,1.0,15,0.9734115588492616,0.9736585867942976,0.9840164693772516,3817,5755694407684602296,385,101,191107,0,2002,730
